72365 ABQ Albuquerque Observations at 00Z 22 Dec 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV                                                              
   88.2  17064  -62.3  -89.3      2   0.00    261     17  422.0  422.0  422.0
   79.8  17678  -66.4  -90.8      2   0.00    250     24  425.9  425.9  425.9
   78.3  17790  -67.1  -91.1      2   0.00    250     23  426.6  426.6  426.6
   76.4  17939  -62.3  -89.3      2   0.00    258     19  439.6  439.6  439.6
   75.9  17983  -62.0  -89.2      2   0.00    260     18  441.2  441.2  441.2
   74.0  18137  -60.9  -88.9      1   0.00    242     13  446.6  446.6  446.6
   72.2  18288  -61.7  -89.2      1   0.00    225      8  448.1  448.1  448.1
   70.0  18480  -62.7  -89.7      2   0.00    215     10  449.9  449.9  449.9
   68.7  18593  -63.0  -89.8      2   0.00    255     15  451.7  451.7  451.7
   65.4  18898  -63.7  -90.0      2   0.00    255     20  456.5  456.5  456.5
   63.7  19061  -64.1  -90.1      2   0.00    270     18  459.1  459.1  459.1
   61.4  19289  -59.7  -88.7      1   0.00    290     14  473.7  473.8  473.7
   59.3  19507  -60.7  -89.2      1   0.00    310     11  476.1  476.2  476.1
   57.8  19667  -61.5  -89.5      1   0.00    307     12  477.9  477.9  477.9
   56.5  19812  -61.2  -89.2      1   0.00    305     12  481.7  481.7  481.7
   53.8  20117  -60.7  -88.7      1   0.00     90     15  489.8  489.8  489.8
   53.0  20207  -60.5  -88.5      1   0.00     94     15  492.2  492.2  492.2
   51.4  20398  -61.9  -88.9      2   0.00    102     15  493.3  493.3  493.3
   50.0  20570  -60.5  -89.5      1   0.00    110     15  500.5  500.5  500.5
   48.8  20726  -60.5  -88.6      1   0.00    110     15  504.1  504.1  504.1
   48.6  20747  -60.5  -88.5      1   0.00    110     15  504.6  504.6  504.6
   45.4  21169  -62.1  -90.1      1   0.00    103     18  510.6  510.6  510.6
   44.2  21336  -60.6  -89.7      1   0.00    100     19  518.2  518.2  518.2
   43.2  21478  -59.3  -89.3      1   0.00    112     21  524.8  524.8  524.8
   42.1  21641  -59.6  -89.1      1   0.00    125     23  528.0  528.0  528.0
   40.9  21820  -59.9  -88.9      1   0.00    101     24  531.5  531.6  531.5
   40.1  21946  -59.5  -88.9      1   0.00     85     24  535.7  535.7  535.7
