72365 ABQ Albuquerque Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   59.7  19812  -63.1  -93.0      1   0.00     75     19  470.0  470.0  470.0
   55.3  20281  -65.1  -94.1      1   0.00     71     16  475.8  475.8  475.8
   54.0  20422  -63.9  -93.3      1   0.00     70     15  481.6  481.6  481.6
   52.1  20647  -62.1  -92.1      1   0.00     89     17  490.9  490.9  490.9
   50.0  20900  -63.1  -93.1      1   0.00    110     20  494.4  494.4  494.4
   49.0  21031  -63.6  -93.6      1   0.00    115     21  496.2  496.2  496.2
   48.7  21062  -63.7  -93.7      1   0.00    109     20  496.7  496.7  496.7
   46.6  21336  -61.2  -91.8      1   0.00     60     11  509.0  509.1  509.0
   45.4  21497  -59.7  -90.7      1   0.00     71     12  516.4  516.4  516.4
   44.4  21641  -59.4  -90.4      1   0.00     80     13  520.4  520.5  520.4
   43.8  21722  -59.3  -90.3      1   0.00     81     13  522.7  522.7  522.7
   43.1  21823  -57.5  -89.5      1   0.00     83     13  529.5  529.6  529.5
   42.3  21946  -57.1  -89.1      1   0.00     85     13  533.5  533.5  533.5
   40.7  22186  -56.3  -88.3      1   0.00     93     19  541.3  541.3  541.3
   40.3  22250  -56.3  -88.3      1   0.00     95     20  542.7  542.8  542.7
   36.6  22860  -56.7  -88.7      1   0.00    130     11  556.9  556.9  556.9
   33.2  23470  -57.1  -89.1      1   0.00     75     16  571.4  571.5  571.4
   30.2  24079  -57.5  -89.5      1   0.00     70     22  586.3  586.3  586.3
   30.0  24120  -57.5  -89.5      1   0.00     85     24  587.3  587.3  587.3
   29.2  24290  -58.3  -89.3      1   0.00     98     23  589.6  589.7  589.7
   28.8  24384  -57.8  -89.0      1   0.01    105     23  593.5  593.6  593.5
   27.4  24689  -56.1  -88.0      1   0.01     50     18  606.3  606.4  606.3
   26.1  24994  -54.5  -87.1      1   0.01     45     24  619.4  619.4  619.4
   25.4  25178  -53.5  -86.5      1   0.01     54     23  627.3  627.4  627.3
   23.8  25603  -53.7  -86.7      1   0.01     75     22  638.7  638.8  638.7
   23.7  25623  -53.7  -86.7      1   0.01     74     22  639.3  639.4  639.3
   22.7  25908  -52.1  -85.6      1   0.01     60     22  652.2  652.3  652.2
   21.6  26213  -50.3  -84.4      1   0.01     65     28  666.2  666.4  666.2
   20.7  26518  -48.5  -83.2      1   0.02     95     37  680.5  680.7  680.5
   20.1  26697  -47.5  -82.5      1   0.02     99     37  689.0  689.3  689.0
   20.0  26730  -47.5  -82.5      1   0.02    100     37  690.0  690.2  690.0
   18.0  27432  -47.5  -82.5      1   0.02    110     30  711.3  711.6  711.3
   17.2  27737  -47.5  -82.5      1   0.03    120     24  720.8  721.1  720.8
   17.1  27763  -47.5  -82.5      1   0.03    117     24  721.6  721.9  721.6
   16.4  28042  -45.7  -81.1      1   0.03     85     28  736.2  736.5  736.2
   14.4  28915  -39.9  -76.9      1   0.08     80     15  783.4  784.3  783.5
   14.3  28956  -39.9  -76.9      1   0.08     80     14  784.7  785.5  784.7
   13.7  29261  -40.2  -77.2      1   0.08    105     15  794.0  794.9  794.0
   13.1  29566  -40.4  -77.4      1   0.08    105      9  803.4  804.3  803.4
   12.5  29870  -40.6  -77.7      1   0.08    135     15  812.9  813.8  812.9
   12.4  29933  -40.7  -77.7      1   0.08    136     15  814.8  815.8  814.9
   12.0  30175  -40.1  -77.1      1   0.09    140     15  825.2  826.3  825.3
   11.4  30480  -39.4  -76.4      1   0.10    100     12  838.5  839.8  838.6
   11.0  30750  -38.7  -75.7      1   0.12     85     15  850.5  851.9  850.5
   10.5  31090  -40.0  -77.0      1   0.10     65     19  858.0  859.3  858.1
   10.0  31400  -41.1  -78.1      1   0.09     85     19  865.0  866.1  865.0
    9.7  31607  -41.1  -78.1      1   0.09     95     18  872.5  873.8  872.6
    9.6  31699  -40.5  -77.5      1   0.10    100     18  878.1  879.5  878.2
    9.2  32004  -38.5  -75.5      1   0.15     50     11  896.9  898.8  897.0
    9.1  32043  -38.3  -75.3      1   0.15     51     12  899.3  901.3  899.4
    8.5  32514  -36.9  -74.9      1   0.17     65     24  922.5  924.8  922.6
    8.3  32678  -37.9  -75.9      1   0.15     69     29  924.9  926.9  925.0
    7.7  33223  -35.6  -74.3      1   0.21     85     43  955.2  958.1  955.4
    7.5  33380  -34.9  -73.9      1   0.23                964.2  967.4  964.3

